GroupID,pleasant,eventful,chaotic,vibrant,uneventful,calm,annoying,monotonous
MC328,2.4180784,2.3121996,2.5979722,2.2030935,3.0901542,2.4105086,2.976253,3.1518915
MC329,2.1300013,2.947099,3.1029546,2.6463456,2.4451418,1.8516135,3.2740784,2.6251593
MC330,2.2127178,2.4844558,2.7526174,2.2931337,2.7864432,2.1014142,3.0666938,2.904223
MC331,2.434202,2.5189123,2.6865594,2.3890724,2.910358,2.3350754,2.967547,2.9904604
MC332,2.3006651,2.5464053,2.714278,2.3809218,2.7377894,2.158028,2.9799528,2.8365438
MC333,2.4146235,2.8078277,2.6763282,2.6756234,2.3560572,2.132015,2.7505722,2.4195771
MC334,2.3778932,2.635851,2.7222507,2.4852686,2.6901593,2.2035856,2.931664,2.779949
MC335,2.4430752,2.7138073,2.6699572,2.585573,2.5548468,2.2218642,2.8205633,2.6188579
MC336,2.3025727,2.7738364,2.7038214,2.6187043,2.316206,2.017376,2.7684135,2.4176106
MC401,2.359349,2.436806,2.7332237,2.2733357,3.0368867,2.308064,3.1180258,3.1250207
MC402,2.2543204,2.5843527,2.9372444,2.3490937,2.9754412,2.165247,3.308752,3.1163855
MC404,2.119943,3.037402,3.061961,2.7516396,2.1972904,1.7669028,3.1160202,2.378981
MC405,2.3082576,2.3666358,2.7190802,2.2009678,3.0644102,2.2792678,3.12293,3.167202
MC406,2.240899,2.5613806,2.8568702,2.3438954,2.8774693,2.1282184,3.1904764,3.0157304
MC407,2.2560687,2.5844536,2.7979746,2.3880446,2.7511487,2.109598,3.076189,2.8725452
MC409,2.2918596,2.5628169,2.7499576,2.3880663,2.749857,2.1531456,3.014913,2.8570042
MC410,2.1279023,2.4735131,2.922373,2.2154262,2.979029,2.0650768,3.3589535,3.1311765
MC412,2.0471663,2.8795521,3.1725392,2.5459619,2.5734544,1.8130261,3.4155264,2.784033
MC413,2.3064318,2.4199193,2.6893585,2.2604814,2.9246967,2.2333477,3.0372505,3.022073
MC414,2.1717618,2.5323417,2.7839863,2.3257656,2.701139,2.0319164,3.069631,2.8322852
